Date;Adj Close
04/05/2020;205.259995
05/05/2020;207.070007
06/05/2020;208.470001
07/05/2020;211.259995
08/05/2020;212.350006
11/05/2020;213.179993
12/05/2020;210.100006
13/05/2020;205.100006
14/05/2020;206.809998
15/05/2020;210.880005
18/05/2020;213.190002
19/05/2020;216.880005
20/05/2020;229.970001
21/05/2020;231.389999
22/05/2020;234.910004
26/05/2020;232.199997
27/05/2020;229.139999
28/05/2020;225.460007
29/05/2020;225.089996
01/06/2020;231.910004
02/06/2020;232.720001
03/06/2020;230.160004
04/06/2020;226.289993
05/06/2020;230.770004
08/06/2020;231.399994
09/06/2020;238.669998
10/06/2020;236.729996
11/06/2020;224.429993
12/06/2020;228.580002
15/06/2020;232.500000
16/06/2020;235.649994
17/06/2020;235.529999
18/06/2020;235.940002
19/06/2020;238.789993
22/06/2020;239.220001
23/06/2020;242.240005
24/06/2020;234.020004
25/06/2020;235.679993
26/06/2020;216.080002
29/06/2020;220.639999
30/06/2020;227.070007
01/07/2020;237.550003
02/07/2020;233.419998
06/07/2020;240.279999
07/07/2020;240.860001
08/07/2020;243.580002
09/07/2020;244.500000
10/07/2020;245.070007
13/07/2020;239.000000
14/07/2020;239.729996
15/07/2020;240.279999
16/07/2020;240.929993
17/07/2020;242.029999
20/07/2020;245.419998
21/07/2020;241.750000
22/07/2020;239.869995
23/07/2020;232.600006
24/07/2020;230.710007
27/07/2020;233.500000
28/07/2020;230.119995
29/07/2020;233.289993
30/07/2020;234.500000
31/07/2020;253.669998
03/08/2020;251.960007
04/08/2020;249.830002
05/08/2020;249.119995
06/08/2020;265.279999
07/08/2020;268.440002
10/08/2020;263.000000
11/08/2020;256.130005
12/08/2020;259.890015
13/08/2020;261.299988
14/08/2020;261.239990
17/08/2020;261.160004
18/08/2020;262.339996
19/08/2020;262.589996
20/08/2020;269.010010
21/08/2020;267.010010
24/08/2020;271.390015
25/08/2020;280.820007
26/08/2020;303.910004
27/08/2020;293.220001
28/08/2020;293.660004
31/08/2020;293.200012
01/09/2020;295.440002
02/09/2020;302.500000
03/09/2020;291.119995
04/09/2020;282.730011
08/09/2020;271.160004
09/09/2020;273.720001
10/09/2020;268.089996
11/09/2020;266.609985
14/09/2020;266.149994
15/09/2020;272.420013
16/09/2020;263.519989
17/09/2020;254.820007
18/09/2020;252.529999
21/09/2020;248.149994
22/09/2020;254.750000
23/09/2020;249.020004
24/09/2020;249.529999
25/09/2020;254.820007
28/09/2020;256.820007
29/09/2020;261.790009
30/09/2020;261.899994
01/10/2020;266.630005
02/10/2020;259.940002
05/10/2020;264.649994
06/10/2020;258.660004
07/10/2020;258.119995
08/10/2020;263.760010
09/10/2020;264.450012
12/10/2020;275.750000
13/10/2020;276.140015
14/10/2020;271.820007
15/10/2020;266.720001
16/10/2020;265.929993
19/10/2020;261.399994
20/10/2020;267.559998
21/10/2020;278.730011
22/10/2020;278.119995
23/10/2020;284.790009
26/10/2020;277.109985
27/10/2020;283.290009
28/10/2020;267.670013
29/10/2020;280.829987
30/10/2020;263.109985
02/11/2020;261.359985
03/11/2020;265.299988
04/11/2020;287.380005
05/11/2020;294.679993
06/11/2020;293.410004
09/11/2020;278.769989
10/11/2020;272.429993
11/11/2020;276.480011
12/11/2020;275.079987
13/11/2020;276.950012
16/11/2020;278.959991
17/11/2020;275.000000
18/11/2020;271.970001
19/11/2020;272.940002
20/11/2020;269.700012
23/11/2020;268.429993
24/11/2020;276.920013
25/11/2020;275.589996
27/11/2020;277.809998
30/11/2020;276.970001
01/12/2020;286.549988
02/12/2020;287.519989
03/12/2020;281.850006
04/12/2020;279.700012
07/12/2020;285.579987
08/12/2020;283.399994
09/12/2020;277.920013
10/12/2020;277.119995
11/12/2020;273.549988
14/12/2020;274.190002
15/12/2020;275.549988
16/12/2020;275.670013
17/12/2020;274.480011
18/12/2020;276.399994
21/12/2020;272.790009
22/12/2020;267.089996
23/12/2020;268.109985
24/12/2020;267.399994
28/12/2020;277.000000
29/12/2020;276.779999
30/12/2020;271.869995
31/12/2020;273.160004
04/01/2021;268.940002
05/01/2021;270.970001
06/01/2021;263.309998
07/01/2021;268.739990
08/01/2021;267.570007
11/01/2021;256.839996
12/01/2021;251.089996
13/01/2021;251.639999
14/01/2021;245.639999
15/01/2021;251.360001
19/01/2021;261.100006
20/01/2021;267.480011
21/01/2021;272.869995
22/01/2021;274.500000
25/01/2021;278.010010
26/01/2021;282.049988
27/01/2021;272.140015
28/01/2021;265.000000
29/01/2021;258.329987
01/02/2021;262.010010
02/02/2021;267.079987
03/02/2021;266.649994
04/02/2021;266.489990
05/02/2021;268.100006
08/02/2021;266.579987
09/02/2021;269.450012
10/02/2021;271.869995
11/02/2021;270.390015
12/02/2021;270.500000
16/02/2021;273.970001
17/02/2021;273.570007
18/02/2021;269.390015
19/02/2021;261.559998
22/02/2021;260.329987
23/02/2021;265.859985
