Date;Close
04/01/2021;12698.450
05/01/2021;12818.960
06/01/2021;12740.790
07/01/2021;13067.480
08/01/2021;13201.980
11/01/2021;13036.430
12/01/2021;13072.430
13/01/2021;13128.950
14/01/2021;13112.640
15/01/2021;12998.500
19/01/2021;13197.180
20/01/2021;13457.250
21/01/2021;13530.910
22/01/2021;13543.060
25/01/2021;13635.990
26/01/2021;13626.060
27/01/2021;13270.600
28/01/2021;13337.160
29/01/2021;13070.690
01/02/2021;13403.390
02/02/2021;13612.780
03/02/2021;13610.540
04/02/2021;13777.740
05/02/2021;13856.300
08/02/2021;13987.640
09/02/2021;14007.700
10/02/2021;13972.530
11/02/2021;14025.770
12/02/2021;14095.470
16/02/2021;14047.500
17/02/2021;13965.490
18/02/2021;13865.360
19/02/2021;13874.460
22/02/2021;13533.050
23/02/2021;13465.200
24/02/2021;13597.970
25/02/2021;13119.430
26/02/2021;13192.350
01/03/2021;13588.830
02/03/2021;13358.790
03/03/2021;12997.750
04/03/2021;12723.470
05/03/2021;12920.150
08/03/2021;12609.160
09/03/2021;13073.820
10/03/2021;13068.830
11/03/2021;13398.670
12/03/2021;13319.860
15/03/2021;13459.710
16/03/2021;13471.570
17/03/2021;13525.200
18/03/2021;13116.170
19/03/2021;13215.240
22/03/2021;13377.540
23/03/2021;13227.700
24/03/2021;12961.890
25/03/2021;12977.680
26/03/2021;13138.730
29/03/2021;13059.650
30/03/2021;13045.390
31/03/2021;13246.870
01/04/2021;13480.110
05/04/2021;13705.590
06/04/2021;13698.380
07/04/2021;13688.840
08/04/2021;13829.310
09/04/2021;13900.190
12/04/2021;13850.000
13/04/2021;13996.100
14/04/2021;13857.840
15/04/2021;14038.760
16/04/2021;14052.340
19/04/2021;13914.770
20/04/2021;13786.270
21/04/2021;13950.220
22/04/2021;13818.410
23/04/2021;14016.810
26/04/2021;14138.780
27/04/2021;14090.220
28/04/2021;14051.030
29/04/2021;14082.550
30/04/2021;13962.680
03/05/2021;13895.120
04/05/2021;13633.500
05/05/2021;13582.420
06/05/2021;13632.840
07/05/2021;13752.240
10/05/2021;13401.860
11/05/2021;13389.430
12/05/2021;13031.680
13/05/2021;13124.990
14/05/2021;13429.980
17/05/2021;13379.050
18/05/2021;13303.640
19/05/2021;13299.740
20/05/2021;13535.740
21/05/2021;13470.990
24/05/2021;13661.170
25/05/2021;13657.170
26/05/2021;13738.000
27/05/2021;13736.280
28/05/2021;13748.740
01/06/2021;13736.480
02/06/2021;13756.330
03/06/2021;13614.510
04/06/2021;13814.490
07/06/2021;13881.720
08/06/2021;13924.910
09/06/2021;13911.750
10/06/2021;14020.330
11/06/2021;14069.420
14/06/2021;14174.140
15/06/2021;14072.860
16/06/2021;14039.680
17/06/2021;14161.350
18/06/2021;14030.380
21/06/2021;14141.480
22/06/2021;14253.270
23/06/2021;14271.730
24/06/2021;14369.710
25/06/2021;14360.390
28/06/2021;14500.510
29/06/2021;14528.330
30/06/2021;14503.950
01/07/2021;14522.380
02/07/2021;14639.330
06/07/2021;14663.640
07/07/2021;14665.060
08/07/2021;14559.780
09/07/2021;14701.920
12/07/2021;14733.240
13/07/2021;14677.650
14/07/2021;14644.950
15/07/2021;14543.130
16/07/2021;14427.240
19/07/2021;14274.980
20/07/2021;14498.880
21/07/2021;14631.950
22/07/2021;14684.600
23/07/2021;14836.990
26/07/2021;14840.710
27/07/2021;14660.580
28/07/2021;14762.580
29/07/2021;14778.260
30/07/2021;14672.680
02/08/2021;14681.070
